area;ciudad;conglomerado;vivienda;hogar;persona;s1p2;s1p3;s1p3b;s1p4;s1p5a;s1p5b;s1p6;s1p7;s1p8;s1p9;s1p10;s1p11;s1p12a;s1p12b;s1p13;s1p14a;s1p14c;s2p1;s2p2a;s2p2b;s2p3;s2p41;s2p42;s2p43;s2p44;s2p45;s2p5;s2p6;s2p7a;s2p7b;s2p8;s2p9;s2p10a;s2p10b;s6p1a;s6p1b;s6p2;s6p3;s6p4;s6p4a;s6p4b;s6p4c;s6p4d;s7p1a;s7p1b;s7p1a1;s7p1b1;s7p1b2;s7p1b3;s7p1b4;s7p1b5;s7p1b6;s7p2;s7p211;s7p212;s7p213;s7p214;s7p3;s7p4;s7p5;s7p6;s7p71;s7p72;s7p73;s7p74;s7p75;s7p76;s7p77;s7p78;s7p79;upm;estrato;fexp;id_hogar;id_per
1;010150;001804;12;1;08;2;17;2;3;10;10;6;3;3;6;1; ;7;1; ; ; ;1;6;2;1;1;1;1;2;2;1;1;2; ; ; ; ; ;2; ;5;2;1;5;0;0;0;1;1;1;1;1;1;1;1;2;1;2;5;7;13;1;1;1;1;1;2;1;2;2;2;2;2;2;010150001804;2712;368,820295089999;010150001804121;01015000180412108
1;010150;001804;13;1;01;1;60;2;1;1;10;1;3;4;6;2;5;6;3; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ; ; ; ;1;1;1;1;1;2;2;2;2;1;1;13;13;13;2;1;4;1;2;2;2;2;2;2;2;2;2;010150001804;2712;374,3123365329;010150001804131;01015000180413101
1;010150;001804;13;1;02;2;54;1;2;2;10;1;3;4;6;2;5;6;4; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ; ; ; ;1;1;1;2;1;2;2;2;2;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;010150001804;2712;368,820295089999;010150001804131;01015000180413102
1;010150;001804;13;1;03;2;36;2;3;10;10;2;4;4;6;2;5;6;4; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;2; ; ; ; ;1;1;1;1;1;2;2;2;2;1;2;13;13;13;1;1;2;1;1;1;1;1;1;1;1;1;2;010150001804;2712;368,820295089999;010150001804131;01015000180413103
1;010150;001804;13;1;04;2;17;2;5;10;10;6;4;4;6;1; ;7;1; ; ; ;1;6;2;2;1;1;1;1;2;1;1;2; ; ; ; ; ;2; ;3;2;2; ; ; ; ;1;1;1;1;1;2;2;2;2;1;1;9;13;13;1;1;2;1;1;1;1;1;1;1;1;1;2;010150001804;2712;368,820295089999;010150001804131;01015000180413104
1;010150;001804;13;1;05;1;5;2;5;10;10; ;4;4;6;1; ;5;0;2; ; ;1;4;1;1;1;1;1;1;2;1;1;1;20;1;1;1;1; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;010150001804;2712;429,587283422015;010150001804131;01015000180413105
1;010150;001804;14;1;01;1;52;1;1;10;10;1;3;3;6;2;2;9;5; ;1;650703;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2;2;1;0;20;0;0;1;1;1;1;1;1;1;1;1;1;2;5;9;10;1;1;1;2; ; ; ; ; ; ; ; ; ;010150001804;2712;374,3123365329;010150001804141;01015000180414101
1;010150;001804;14;1;02;2;42;2;2;10;10;1;3;3;6;2;2;9;5; ;1;840404;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2;2;1;0;20;0;0;1;1;1;1;1;1;1;1;1;1;2;5;9;10;1;1;2;2; ; ; ; ; ; ; ; ; ;010150001804;2712;368,820295089999;010150001804141;01015000180414102
1;010150;001804;14;1;03;2;12;2;3;10;10;6;3;3;6;1; ;5;7;1; ; ;1;4;8;1;1;1;1;1;1;3;3;2; ;2;2;2; ;2; ;2;2;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;2;5;7;9;1;1;1;2; ; ; ; ; ; ; ; ; ;010150001804;2712;473,951623477658;010150001804141;01015000180414103
1;010150;006902;01;1;01;1;89;1;1;10;10;5;3;3;6;2;1;4;4;1; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;010150006902;2711;457,730625821464;010150006902011;01015000690201101
1;010150;006902;01;1;02;2;92;2;2;10;10;5;3;3;6;2;1;1; ;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;010150006902;2711;451,014642079166;010150006902011;01015000690201102
1;010150;006902;02;1;01;1;31;1;1;10;10;1;3;3;6;2;3;4;6;1; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;2; ; ; ; ;1;1;1;1;1;1;2;2;1;1;2;10;13;13;1;1;2;2; ; ; ; ; ; ; ; ; ;010150006902;2711;457,730625821464;010150006902021;01015000690202101
1;010150;006902;02;1;02;2;32;2;2;10;10;1;3;3;6;2;3;6;6; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;1;2; ; ; ; ;1;1;1;1;1;1;2;2;1;1;2;10;13;13;1;1;2;2; ; ; ; ; ; ; ; ; ;010150006902;2711;451,014642079166;010150006902021;01015000690202102
1;010150;006902;02;1;03;1;10;2;3;10;10; ;3;3;6;1; ;5;5;1; ; ;1;4;6;1;1;1;1;2;2;1;1;2; ;1;2;1;1; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;010150006902;2711;525,324005901201;010150006902021;01015000690202103
1;010150;006902;02;1;04;2;7;2;3;10;10; ;3;3;6;1; ;5;2;1; ; ;1;4;3;1;1;1;1;2;2;1;1;2; ;1;2;1;1; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;010150006902;2711;579,575269233637;010150006902021;01015000690202104
