area;ciudad;conglomerado;panelm;vivienda;hogar;p01;p02;p03;p04;p05a;p05b;p06;p07;p08;p081;p085;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p232;p233;p24;p25;p26;p27;p28;p29;p29a;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p421;p422;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;sp01;af101;af102h;af102m;af201cod;af201d;af201h;af201m;af202cod;af202d;af202h;af202m;af203cod;af203d;af203h;af203m;af204h;af204m;ced01a;estrato;fexp;nnivins;ingrl;ingpc;pobreza;epobreza;condact;empleo;desempleo;secemp;grupo1;rama1;upm;id_vivienda;id_hogar;id_persona;periodo
1;10150;000801;058;02;1;01;2;22;1;10;10;6;1;1;3;4; ;7;3; ; ; ;1;2;190450;1;1; ; ; ; ; ;24;1; ;2;1;30; ;3;4; ; ; ; ; ; ; ; ;5610;9412;2; ; ; ;3;1;2;2;2;2;2;2;2;2;2;2;4;1;1;5;2;1;1;24; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;240;0;1;60; ; ; ;2; ;2; ;1;80;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ;2; ; ; ;1;7;1;50;1;7;0;25;6;0;1;2712;135,365949761653;4;300;380;0;0;2;1; ;1;9;9;010150000801;01015000080105802;010150000801058021;01015000080105802101;202412
1;10150;000801;058;03;1;01;2;86;1;1;10;4;2; ; ; ;1;4;6;1; ; ;6;2;30250;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;1;600;1;300;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;135,365949761653;3; ;900;0;0;9; ; ; ; ; ;010150000801;01015000080105803;010150000801058031;01015000080105803101;202412
1;10150;000801;058;04;1;01;1;81;1;2;10;4;2; ; ; ;1;4;6;1; ; ;6;2;10170;1;1; ; ; ; ; ;30;4; ;4; ; ;6; ; ; ; ; ; ; ; ; ; ;9524;7534;5;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;60;6;1;3;2;1;1;50; ; ; ; ; ; ; ; ; ; ; ;5;1400;2; ;1000; ; ; ; ; ; ; ;2; ;1;230;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;135,365949761653;3;400;308;0;0;4;1; ;1;7;19;010150000801;01015000080105804;010150000801058041;01015000080105804101;202412
1;10150;000801;058;04;1;02;1;61;3;1;10;6;2; ; ; ;1;9;5; ;2; ;6;2;10170;2;1; ; ; ; ; ;50; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;9524;7534;2; ; ; ;2;2;2;2;2;2;1;2;2;2;2;2;48;1;1;3;2;1;1;50; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;420;40;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ; ; ;1;4;1;20;1;5;5;0;1;6;0;20;2;0;1;2712;135,365949761653;5;460;308;0;0;1;1; ;1;7;19;010150000801;01015000080105804;010150000801058041;01015000080105804102;202412
1;10150;000801;058;04;1;03;2;51;3;2;10;3;2; ; ; ;5;6;6; ; ; ;6;1; ;2;1; ; ; ; ; ;40; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;9700;5311;10; ; ; ;3;1;2;2;2;2;2;2;2;2;2;2;2;8;1;1; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ;400;0;1;50; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8; ; ; ;2; ; ; ;1;6;1;45;1;5;0;40;5;0;1;2712;135,365949761653;4;450;308;0;0;4;1; ;3;5;20;010150000801;01015000080105804;010150000801058041;01015000080105804103;202412
1;10150;000801;058;04;1;04;2;14;5;2;10;6;1;1;1;4; ;5;9;1; ; ;6;1; ;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;135,365949761653;3; ;308;0;0;0; ; ; ; ; ;010150000801;01015000080105804;010150000801058041;01015000080105804104;202412
1;10150;000801;058;04;1;05;2;10;5;2;10; ;1;1;1;4; ;5;5;1; ; ;6;1; ;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;135,365949761653;3; ;308;0;0;0; ; ; ; ; ;010150000801;01015000080105804;010150000801058041;01015000080105804105;202412
1;10150;000801;058;05;1;01;2;25;1;10;10;6;2; ; ; ;5;8;3; ;1;20210407;6;2;170150;1;1; ; ; ; ; ;20;1; ;2;1;30; ;1;4; ; ; ; ; ; ; ; ;8542;2355;2; ; ; ;3;2;2;2;2;2;2;2;2;2;2;2;7;1;1;8;2;1;1;20; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;250;0;2; ; ; ; ;2; ;2; ;1;100;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ;1;5;3;0;1;5;1;40;1;7;0;50;4;0;1;2712;135,365949761653;5;250;300;0;0;2;1; ;1;2;16;010150000801;01015000080105805;010150000801058051;01015000080105805101;202412
1;10150;000801;058;05;1;02;1;25;9;10;10;6;2; ; ; ;3;8;3; ;1;20210407;6;1; ;1;1; ; ; ; ; ;20;1; ;3;1;30; ;1;4; ; ; ; ; ; ; ; ;8542;2355;2; ; ; ;3;2;2;2;2;2;2;2;2;2;2;2;3;1;1;8;2;1;1;20; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;250;0;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;88; ; ; ;88; ; ; ;88; ; ; ;88; ; ; ;88;88;1;2712;135,365949761653;5;250;300;0;0;2;1; ;1;2;16;010150000801;01015000080105805;010150000801058051;01015000080105805102;202412
1;10150;000801;058;06;1;01;2;54;1;1;10;6;2; ; ; ;5;9;4; ;1;30410502;6;2;71250;1;1; ; ; ; ; ;40; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;8521;4120;2; ; ; ;3;2;2;2;1;2;1;2;2;2;1;1;33;1;1;30;1;1;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;420;40;2; ; ; ; ;2; ;2; ;2; ;1;250;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8; ; ; ;2; ; ; ;1;5;1;40;1;7;0;30;5;0;1;2712;135,365949761653;5;460;303,333333333333;0;0;1;1; ;1;4;16;010150000801;01015000080105806;010150000801058061;01015000080105806101;202412
